id,income,age,region,is_target
0,72437.73663803545,44.0254472927936,S,1
1,61680.127150076034,50.444891167882304,N,1
2,76003.60956645166,42.54350944141047,W,1
3,77524.51773112972,45.863632759661144,W,1
4,54391.71849076931,29.698967393813867,W,1
5,59582.56394510146,41.70768958841929,N,1
6,71022.72322533828,36.940618378242775,N,1
7,67470.05926125134,34.68712163745823,W,1
8,69865.59073996569,36.73108579842749,S,1
9,63175.64857941136,39.99525935579513,E,1
10,77035.18379890262,47.49541525413608,W,1
11,76222.33548343158,34.04164369356262,N,1
12,70528.24558048973,42.183788955566506,N,1
13,79017.92965574426,39.094983399998526,N,1
14,73740.07473801637,40.03396143382823,N,1
15,63125.6602969341,48.01654695182762,N,1
16,72950.00627265999,45.22869262202356,W,1
17,62328.93919336801,50.02438864465646,E,1
18,77027.60241045817,41.0729659245006,W,1
19,69600.59271210998,37.82434432997578,W,1
20,68521.10109163792,40.656847098717,W,1
21,64552.56364476847,43.45498074762733,N,1
22,79780.33070939223,43.05944015072227,S,1
23,68763.76414344959,35.4936715665998,W,1
24,66573.37742269514,42.54293868976725,N,1
25,67182.93159609416,43.36936998083343,N,1
26,74258.4734844268,57.10484422520352,E,1
27,72923.55251491263,53.26106766769002,W,1
28,73301.8608927679,36.88053989664708,W,1
29,73446.56802406306,40.275699830704944,W,1
30,87133.18080696369,33.21934798897798,N,1
31,66748.67986892308,38.455757916219085,W,1
32,65902.0581674277,43.893630021542045,W,1
33,63489.81817401698,49.2351217253294,E,1
34,74927.83538060397,37.62549697353835,W,1
35,79031.77834176713,38.07512135959322,W,1
36,69088.420338761,29.11626582156807,S,1
37,63278.74818429977,41.02400447673055,N,1
38,63404.150274470085,35.62551352884262,S,1
39,75204.7423025976,38.82336343580356,N,1
40,75946.03336962753,36.73883533099447,N,1
41,74345.23414644157,41.43442467448466,N,1
42,64675.92234169044,31.45362965186021,E,1
43,71857.29058453375,33.19772852765406,E,1
44,70933.48647312583,54.77548267216979,E,1
45,71749.5087738321,34.27546451235581,E,1
46,76971.43022358551,35.41928652927216,E,1
47,71788.76439019745,53.02148116992788,E,1
48,75431.30850457516,59.43040301544244,N,1
49,70540.63255591113,34.97060022704795,W,1
50,72312.95518951987,39.790506259271815,S,1
51,75050.30580670832,44.04933330564306,N,1
52,58342.753441154666,52.372185866433554,W,1
53,67442.63026914159,36.07885752943058,E,1
54,66237.01876565763,40.52833292434734,N,1
55,64888.977214053266,46.66402545637047,N,1
56,67798.86199018653,44.60859644679971,N,1
57,81959.53048987516,39.743063572619405,S,1
58,63073.351074454054,41.19706221290375,N,1
59,77746.22683673185,33.750625149780106,E,1
60,56537.04182707356,40.57095753615201,E,1
61,67320.9197601138,40.40167505994627,W,1
62,71302.02452084004,43.393019337757536,E,1
63,74689.77865087423,38.6680366870859,E,1
64,75689.81263834285,44.82923113527083,E,1
65,76346.7778815994,48.076294906918974,N,1
66,67210.1994220125,42.932575966010795,N,1
67,66301.18565868346,44.11053845039522,E,1
68,76863.80705005724,42.3189320854672,N,1
69,68469.56540094707,42.000506358548485,N,1
70,59794.509413296626,37.67065179874292,N,1
71,60933.702287972155,43.89896557003985,W,1
72,62644.38171198711,41.41628040951906,S,1
73,73977.28595243012,54.55900985358357,E,1
74,71139.40588856452,51.440129414851455,S,1
75,75523.88283254215,44.315079315339005,N,1
76,66581.97882930773,37.4216567418314,S,1
77,71268.31752861371,35.325531168099495,N,1
78,75004.7231517387,49.14685771853319,W,1
79,67525.2276822381,43.57649535088283,N,1
80,73654.20190045929,44.88086042034966,S,1
81,64704.59247146679,31.532484078154845,W,1
82,67095.56922747943,47.56463088934908,E,1
83,66946.09684801337,44.72652202928618,S,1
84,60433.28283528768,35.33741589351313,E,1
85,73895.77984628465,39.170851155300305,W,1
86,66244.78127837821,43.58230322613912,S,1
87,70099.9529498215,42.31480079013746,E,1
88,73845.97327124728,40.24697288517867,W,1
89,73572.24940823956,41.37907039160424,E,1
90,75323.0808717823,40.488135730758685,S,1
91,69212.11612392461,42.915375072614815,N,1
92,66613.61350364677,50.82895183795894,N,1
93,69362.2543127488,26.600049354412214,W,1
94,56501.32452833576,40.578898412941896,E,1
95,58423.100220615306,43.05907452823468,S,1
96,59418.40310116478,43.775963938122594,S,1
97,62022.02537918815,39.76851251207226,E,1
98,73198.1938137875,31.459669305128504,E,1
99,62756.167557119516,43.96797290228466,E,1
100,66974.69956768489,52.36410128498511,S,1
101,80393.82638228852,32.79683157050317,E,1
102,67149.8882315086,47.18296808218913,S,1
103,75900.12454773669,40.028848661262636,W,1
104,62531.05855992099,41.632053925026916,N,1
105,68356.49953705896,35.68260893577631,N,1
106,62399.82356071535,39.99326296586474,S,1
107,67287.7353927955,49.80026756819375,E,1
108,76722.46509965917,45.49593145192624,E,1
109,56181.436614461214,52.39386963245967,S,1
110,73475.38914836686,49.064471333866166,W,1
111,71901.88481865822,44.634520073577455,S,1
112,65246.80035442564,52.46360715700675,N,1
113,58431.53716489236,44.63395895242979,N,1
114,70577.03606171095,46.96792906078235,W,1
115,65764.05832748958,40.22057427879175,N,1
116,71861.40969083764,42.39927489515523,W,1
117,70174.81716418754,37.81545706019834,S,1
118,82814.23113056732,47.93750360756912,N,1
119,68085.15498021581,34.93017826131081,S,1
120,61812.02005902508,46.69410205450597,E,1
121,71434.20507965054,40.856093654969044,S,1
122,71759.97347177412,49.02748256080392,W,1
123,80873.50060192349,46.50521393238756,E,1
124,76680.88996731663,52.92387694588081,S,1
125,72854.96847319607,46.38464814683187,E,1
126,81706.4231297565,32.567758466080555,W,1
127,60489.895565417195,41.598280962610794,S,1
128,64881.98773800202,34.96795684443111,N,1
129,62587.3924687558,38.89032094580235,S,1
130,66881.52157475386,51.06737059966033,W,1
131,58986.51081954953,45.825202865386174,N,1
132,75081.20757451524,37.806417428527524,W,1
133,68222.21842320981,35.91769580135761,E,1
134,58233.54964397874,42.19669255725756,E,1
135,61875.36735033967,34.700639103713236,S,1
136,72508.11077960156,37.97315833562051,W,1
137,76705.01254315506,43.87205682930746,N,1
138,85973.84713353429,48.93187221664018,S,1
139,93310.89972805863,45.652568833346635,S,1
140,73315.27546620797,28.2522629484114,S,1
141,62083.695039745086,43.82620037418156,S,1
142,52943.62975414953,42.43220143939547,N,1
143,72141.69169875068,44.48334171223616,N,1
144,63496.47123751739,51.697258089907244,N,1
145,66677.14191856251,29.620570339171543,E,1
146,65103.225607521534,38.45337944885337,S,1
147,68873.67290866892,45.54543793676013,E,1
148,78527.84184630115,32.51043360327635,E,1
149,71256.38853956276,50.855694288321054,E,1
150,68730.9213036905,44.21013967620395,E,1
151,61714.76997739351,47.07950391506042,E,1
152,56602.53644236515,38.574338030869235,E,1
153,66109.53672741335,46.882582139797265,E,1
154,69569.73959345343,48.41082933593423,E,1
155,84143.43930863906,43.39726812082301,S,1
156,71042.19617178309,43.406405356192174,N,1
157,77861.91608818446,43.62205943569035,W,1
158,66005.63521168678,36.81992841156371,S,1
159,60520.4498686638,41.114827918557886,E,1
160,62279.065902141025,41.08486480528585,N,1
161,64198.19148371398,44.30036318612097,S,1
162,87027.75785948132,47.99894548146177,E,1
163,63428.90656620491,35.64878350812954,E,1
164,76707.91362989075,41.24994581808254,E,1
165,62776.582575303786,50.88873328595384,S,1
166,77452.58410299395,37.53847062712462,W,1
167,73079.60772884691,37.06649989625808,E,1
168,68746.89681873527,43.21383715098716,W,1
169,69673.89979091653,47.06631114291192,E,1
170,64761.698436564875,42.06855633336396,E,1
171,73568.57761185664,49.97376354262194,W,1
172,66360.13215727377,47.14076389539916,N,1
173,60195.15388986201,47.05092040134037,W,1
174,59776.49940544304,45.32469900794456,W,1
175,71380.70334177696,55.96591860207651,E,1
176,82632.73005128348,40.769029866803734,E,1
177,71279.9329085875,29.978866247600916,E,1
178,69050.89339112095,51.62552616910285,S,1
179,72286.60911682034,39.253803414259046,W,1
180,80448.0139336546,42.647282666058196,N,1
181,71755.06001091085,49.85730410916316,S,1
182,66712.5821533301,32.38644275364645,E,1
183,78850.30968047911,34.490116715363165,W,1
184,73430.0515076929,32.39233237728688,S,1
185,82286.04793596793,37.235182259847456,S,1
186,71465.87549777525,44.63781963610196,N,1
187,60204.247746236,45.145127056876625,N,1
188,59054.72640603468,43.657645075971324,N,1
189,83207.42345785,33.5234046966458,N,1
190,83789.32576626638,28.139379380204137,W,1
191,68563.84629373919,42.3261215123423,W,1
192,66934.5014309121,39.16934379816998,W,1
193,81691.55433793762,44.75631463029967,N,1
194,61143.63454365209,46.21172175732762,N,1
195,62842.18384835339,42.829448592352094,S,1
196,75146.61435751236,46.560798512255126,E,1
197,66843.15901712328,43.37526824469041,S,1
198,69959.02506623942,45.1803882336088,S,1
199,68692.4568118039,37.77196042278071,N,1
200,77484.3770037212,48.29603766326044,N,0
201,55348.75132627901,37.94389616591179,W,0
202,67315.14105505083,36.82609224314674,N,0
203,54073.50403900802,44.87325323112277,W,0
204,58039.51335818236,32.786147580443284,W,0
205,80910.89783851127,44.33815023192001,W,0
206,77161.47985577349,42.6153191023576,W,0
207,64244.15813372168,41.115345060490995,N,0
208,57979.972351672826,51.529656642895574,W,0
209,46283.76929726679,38.266755328231696,E,0
210,65652.03593653892,54.36178902314447,W,0
211,89363.32009797922,40.647411304631405,W,0
212,73479.07417170917,34.33790133017863,E,0
213,65523.42171160408,42.41951748596895,S,0
214,73720.64167600244,35.54252879808739,N,0
215,57512.333176044456,37.489464913119,N,0
216,67621.41309841891,44.38219980009295,S,0
217,70795.81978412591,45.333492531900745,W,0
218,69311.19478543161,38.26699379847445,E,0
219,76326.44897352064,47.92443087027841,S,0
220,72757.16180988842,48.945046548126804,N,0
221,75346.60814486397,50.61781053937975,E,0
222,64493.02174215393,45.17648044275433,E,0
223,77182.52326728438,50.18057227251419,W,0
224,83031.49558099193,30.715209432155653,E,0
225,62238.8038427887,40.09256070822922,E,0
226,62898.434754283524,36.797968462059444,W,0
227,80686.27469056187,42.715355166764354,S,0
228,68469.24810643951,38.57130468481957,W,0
229,81230.57113653245,41.00305294830161,S,0
230,66459.71430486253,53.2930492812243,N,0
231,81640.36461016569,40.98168122147773,S,0
232,71051.88653444362,44.48275390314129,N,0
233,72065.83058658156,40.60638402045459,N,0
234,82517.74417335924,42.454279727741,W,0
235,67105.83618044663,42.03610008261643,W,0
236,62471.02323260033,44.68994439583896,N,0
237,66411.48633577317,48.991845213283064,W,0
238,73618.67160514511,51.88436398561998,N,0
239,57473.927422555884,43.857720491455,S,0
240,75099.76722120897,45.537281316213615,E,0
241,65689.82945905805,35.0948129448866,S,0
242,79182.50128586851,41.47273954550628,E,0
243,50845.917560796224,47.64173678930153,W,0
244,63707.47379916665,47.19581183050292,N,0
245,56508.25479012718,43.2696583967703,N,0
246,63390.16426908838,47.31836375740772,W,0
247,71981.32720887155,44.94460025396291,E,0
248,68566.18699640196,49.20183754955593,E,0
249,67972.97944841588,43.73615494174267,S,0
250,68726.52102895951,39.86581010657379,S,0
251,71627.10592495954,44.01504754159814,E,0
252,61931.711664455135,24.416433744883346,E,0
253,75654.7971271924,44.29731441831029,N,0
254,75301.32776308387,20.1095230487113,E,0
255,73080.30350124881,31.659219555567493,E,0
256,74452.2675420101,44.71061160564591,N,0
257,72371.34400646927,44.865176023600775,S,0
258,86280.58642184854,35.025427319160414,W,0
259,69303.24663157992,37.727387748726365,E,0
260,67543.33425332338,50.223245931684794,N,0
261,63971.77935714098,39.095819210563945,N,0
262,61741.89863537731,55.45752187441791,E,0
263,60044.2256991914,41.98848088094192,S,0
264,62889.621494152656,44.4482170612876,W,0
265,69434.55694678343,51.70124639099164,E,0
266,72674.36102798172,42.78616269716052,W,0
267,70409.13646841729,35.985936115855196,N,0
268,63875.7177805623,41.34163528983426,S,0
269,77201.4765121597,41.78633558285946,N,0
270,75915.30137840757,33.811550086790604,E,0
271,68722.81354062386,40.46500757195506,N,0
272,64776.6708426823,37.54684743601538,S,0
273,74387.4233666384,47.54614654312461,S,0
274,71503.78869988884,42.207671245111534,N,0
275,58414.98192467962,40.30322550511458,N,0
276,69456.15795212476,41.362908416264546,E,0
277,72096.28649659504,43.33873211043699,W,0
278,62802.44170809797,45.70088519813868,N,0
279,71518.74714269955,36.001726627983714,S,0
280,58361.42011793768,35.750474204272365,N,0
281,80689.48880009737,48.62807529241518,W,0
282,79983.59988047545,39.525978766771615,S,0
283,67979.86132557628,33.498947444418754,W,0
284,72907.63470271259,44.66287625629863,N,0
285,50720.624273601,44.78021883619612,N,0
286,60749.21871787734,32.81570845645976,E,0
287,67649.76863878296,43.37689029278164,E,0
288,61422.93582858513,46.41349855457024,W,0
289,75715.17186104527,44.24631871023758,W,0
290,85978.37224598395,45.791888902568374,W,0
291,60587.08224456559,33.57438541145551,E,0
292,63300.29276731846,43.98624092997717,S,0
293,71883.58694647944,40.18428144317732,S,0
294,82888.92918799697,39.10325904765213,N,0
295,60221.005499680774,47.223333656518356,S,0
296,71992.28897845553,50.87564706404538,S,0
297,84570.39080650487,52.766220327602156,N,0
298,56785.926814565864,49.888847229035434,N,0
299,59751.446345233344,41.341594910218895,E,0
300,66611.14714831329,44.11632097815806,S,0
301,65835.2926971567,46.60093723070546,W,0
302,76500.81030202916,42.72706769579677,S,0
303,71933.2777585667,42.78458512746926,W,0
304,55800.303522862974,46.94251879125709,E,0
305,74123.28322320648,41.64430412384441,N,0
306,65379.6889011548,37.62427838175803,N,0
307,80195.5777355299,39.51316160498485,E,0
308,64979.299708504645,45.803462266402455,E,0
309,64907.077735182116,42.01795974719973,S,0
310,74329.05288643626,44.04125986121003,E,0
311,76103.41185869549,46.02047545321314,W,0
312,73584.79491148963,39.75095122261434,S,0
313,56515.22146092153,46.537488981778836,N,0
314,74304.27551942601,44.27305562075037,S,0
315,61725.535586604805,34.59112147853113,W,0
316,71882.20889270611,50.653828747117466,W,0
317,58610.12451680752,38.995531537458504,W,0
318,73570.57718034451,32.0694279408889,W,0
319,63547.20876554102,35.729737742482186,N,0
320,59738.922797915824,35.87372903593007,S,0
321,75710.5610918592,42.313039911945204,N,0
322,71933.15617341401,40.35689696672258,N,0
323,65088.185588856824,39.97900819415644,W,0
324,81609.43079216851,45.71821179289488,W,0
325,66474.78062744206,44.03925216715622,N,0
326,70256.86139176748,43.89628722386572,E,0
327,72151.3075814288,44.45897074397216,E,0
328,65042.67252697109,45.69680800801343,N,0
329,73769.09034719944,29.35227994933534,W,0
330,65732.3812226822,39.813370486413234,W,0
331,66706.89342227032,28.918739613063156,E,0
332,80901.14111842673,42.21635956078677,E,0
333,61675.31157990053,41.97220216665393,S,0
334,50697.75735256408,48.27319364873808,W,0
335,82887.49596009516,49.12580635632673,S,0
336,90394.62362085603,43.216650289514206,W,0
337,66757.84587640535,38.997833535618604,N,0
338,54505.29567503852,44.91096667527443,N,0
339,67516.12819043246,38.83249417605412,W,0
340,67710.21640127465,41.99164409133991,S,0
341,68480.60927182194,47.9168179017646,S,0
342,61092.89566462521,38.65337192406346,W,0
343,74636.48913981182,46.834071835455006,N,0
344,74196.05900228869,46.064408212153815,E,0
345,58044.75504144555,36.27124909721507,S,0
346,75593.57385355911,47.84336476930441,N,0
347,86421.47985556713,46.19139807222903,W,0
348,71375.68265949648,42.611555324235944,N,0
349,67301.39870345195,37.42605925183409,N,0
350,68863.97428473983,36.84476388854658,E,0
351,74922.05413574849,38.77402453858186,W,0
352,56154.62715594225,45.25556677975176,N,0
353,71315.12562381841,36.26624899559161,E,0
354,66876.28840429752,44.62507349171922,E,0
355,84782.60010364836,34.54946682672964,W,0
356,68606.61812956033,40.775588493366904,N,0
357,83343.10088895616,42.65788652744405,W,0
358,61170.07441774394,56.6707808703535,E,0
359,74698.07333442234,33.736106066877795,W,0
